0.0001, Qm = 6.87115926914e-06, Qc = 6.39302635399e-06, Qav = 1.66250485683e-06.  Diff is 6.95854798906
0.00014563484775, Qm = 6.8780497491e-06, Qc = 6.39275708456e-06, Qav = 1.67009088669e-06.  Diff is 7.05567249789
0.000212095088792, Qm = 6.88093408538e-06, Qc = 6.39236497317e-06, Qav = 1.68113873304e-06.  Diff is 7.10033123637
0.000308884359648, Qm = 6.88406849827e-06, Qc = 6.39179400448e-06, Qav = 1.69722807216e-06.  Diff is 7.15092381653
0.000449843266897, Qm = 6.88754681128e-06, Qc = 6.3909626493e-06, Qav = 1.72065921587e-06.  Diff is 7.20988438385
0.00065512855686, Qm = 6.89380743352e-06, Qc = 6.38975227576e-06, Qav = 1.7547814559e-06.  Diff is 7.31170927848
0.00095409547635, Qm = 6.90299664759e-06, Qc = 6.38799033297e-06, Qav = 1.80447016894e-06.  Diff is 7.46061950927
0.00138949549437, Qm = 6.91347291125e-06, Qc = 6.3854259894e-06, Qav = 1.87681831733e-06.  Diff is 7.63794012979
0.00202358964773, Qm = 6.93761327331e-06, Qc = 6.38169492648e-06, Qav = 1.9821332376e-06.  Diff is 8.01310659632
0.00294705170255, Qm = 6.96270009026e-06, Qc = 6.37626864133e-06, Qav = 2.13535663266e-06.  Diff is 8.42247176136
0.00429193426013, Qm = 6.99233586131e-06, Qc = 6.36838182672e-06, Qav = 2.35803515594e-06.  Diff is 8.92339908955
0.00625055192527, Qm = 7.04477865811e-06, Qc = 6.35692915897e-06, Qav = 2.68089217304e-06.  Diff is 9.76396182935
0.00910298177992, Qm = 7.09996109467e-06, Qc = 6.34032031527e-06, Qav = 3.14667062268e-06.  Diff is 10.6992245348
0.0132571136559, Qm = 7.16219122924e-06, Qc = 6.31627990721e-06, Qav = 3.81160210998e-06.  Diff is 11.8107893932
0.0193069772888, Qm = 7.21698571222e-06, Qc = 6.28157892785e-06, Qav = 4.7400211285e-06.  Diff is 12.9611838192
0.0281176869797, Qm = 7.23073457346e-06, Qc = 6.23168997979e-06, Qav = 5.97753541744e-06.  Diff is 13.8166403913
0.0409491506238, Qm = 7.17805895018e-06, Qc = 6.16037737182e-06, Qav = 7.47549495395e-06.  Diff is 14.1776709473
0.0596362331659, Qm = 7.03303870836e-06, Qc = 6.05927811914e-06, Qav = 8.95867288966e-06.  Diff is 13.8455172735
0.0868511373751, Qm = 6.78627151729e-06, Qc = 5.91761962818e-06, Qav = 9.87566864428e-06.  Diff is 12.8001346085
0.126485521686, Qm = 6.43211764597e-06, Qc = 5.72237038901e-06, Qav = 9.73332009258e-06.  Diff is 11.0344259237
0.184206996933, Qm = 5.97999603197e-06, Qc = 5.45931339185e-06, Qav = 8.61604432002e-06.  Diff is 8.70707333804
0.268269579528, Qm = 5.44596662345e-06, Qc = 5.11564630478e-06, Qav = 7.08644660504e-06.  Diff is 6.06541210243
0.390693993705, Qm = 4.85297309703e-06, Qc = 4.68444127614e-06, Qav = 5.63911308802e-06.  Diff is 3.47275407307
0.568986602902, Qm = 4.22784410242e-06, Qc = 4.17023603167e-06, Qav = 4.47992307165e-06.  Diff is 1.36258739327
0.828642772855, Qm = 3.59912948e-06, Qc = 3.5932452557e-06, Qav = 3.6231850624e-06.  Diff is 0.163490208688
1.0, Qm = 3.29199152145e-06, Qc = 3.29176294121e-06, Qav = 3.29176294121e-06.  Diff is 0.00694352450285
1.38949549437, Qm = 2.77736758139e-06, Qc = 2.76338759675e-06, Qav = 2.83607935777e-06.  Diff is 0.503353777889
1.93069772888, Qm = 2.3026587566e-06, Qc = 2.25834882777e-06, Qav = 2.50458277782e-06.  Diff is 1.92429419716
2.68269579528, Qm = 1.87804478661e-06, Qc = 1.8002593203e-06, Qav = 2.26467458122e-06.  Diff is 4.14183233863
3.72759372031, Qm = 1.50719726891e-06, Qc = 1.4039874082e-06, Qav = 2.09151608313e-06.  Diff is 6.84780040667
5.17947467923, Qm = 1.19230857499e-06, Qc = 1.07491389206e-06, Qav = 1.96670954028e-06.  Diff is 9.84599837597
7.19685673001, Qm = 9.30673367526e-07, Qc = 8.10725999321e-07, Qav = 1.87681831733e-06.  Diff is 12.8882347331
10.0, Qm = 7.17373636696e-07, Qc = 6.04287611977e-07, Qav = 1.81209887739e-06.  Diff is 15.7638947035
13.8949549437, Qm = 5.47320336443e-07, Qc = 4.46336530834e-07, Qav = 1.76551152309e-06.  Diff is 18.4505853126
19.3069772888, Qm = 4.1394464952e-07, Qc = 3.27410432613e-07, Qav = 1.73197965501e-06.  Diff is 20.9047796626
26.8269579528, Qm = 3.10314560354e-07, Qc = 2.38941593426e-07, Qav = 1.7078459017e-06.  Diff is 23.0001991676
37.2759372031, Qm = 2.31146392201e-07, Qc = 1.73716963853e-07, Qav = 1.6904766826e-06.  Diff is 24.8454790065
51.7947467923, Qm = 1.69956603532e-07, Qc = 1.259455935e-07, Qav = 1.6779761171e-06.  Diff is 25.8954398464
71.9685673001, Qm = 1.25966047808e-07, Qc = 9.11256919777e-08, Qav = 1.66897956937e-06.  Diff is 27.6585289739
100.0, Qm = 9.30366462298e-08, Qc = 6.5835000673e-08, Qav = 1.66250485683e-06.  Diff is 29.2375603154
146.779926762, Qm = 6.3584257389e-08, Qc = 4.49949401656e-08, Qav = 1.65720685787e-06.  Diff is 29.2357227823
215.443469003, Qm = 4.38162168596e-08, Qc = 3.07209799143e-08, Qav = 1.65359736905e-06.  Diff is 29.8867357427
316.227766017, Qm = 3.00404918048e-08, Qc = 2.09608338568e-08, Qav = 1.65113825163e-06.  Diff is 30.2247313626
